audio_path,speaker,time_start,time_end,text
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,0.0,4.075,All calls are recorded for quality and training purposes.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,4.475,10.641,Thank you for calling your locally owned [OCCUPATION] [OCCUPATION] where we fix all your pains.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,11.041,14.701,Your [OCCUPATION] is currently assisting another caller.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,15.101,17.416,Please stay the line.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,17.816,24.355,I'll be happy to assist you with all your glass needs.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,24.755,28.276,Thanks for calling [ORGANIZATION] [ORGANIZATION].
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,28.676,34.191,[ORGANIZATION] [ORGANIZATION].
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,34.591,38.581,[ORGANIZATION] [ORGANIZATION] paane.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,38.981,41.905,This is [PERSON_NAME].
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,42.305,43.969,How can I help you?
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,44.369,46.407,"Yes, please."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,46.807,52.792,I'm calling because I would like to see if I can get glass silver film in my trailer that I'm purchasing.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,53.192,57.598,"Okay, so you need some done to your trailers, is that correct?"
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,57.998,61.615,"Yes, I can take your information."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,62.015,64.65,Have somebody give you a call with a quote.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,65.05,67.045,"What is your name, please?"
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,67.445,76.907,[PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME].
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,77.307,88.999,[PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] My trailer.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,89.399,104.813,[PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] Good.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,105.213,106.739,"Phone number, please?"
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,107.139,108.249,Yes.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,108.649,114.025,[PHONE_NUMBER].
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,114.425,117.711,That's your reference number here.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,118.111,121.536,So if you call refer that number.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,121.936,128.529,"We answered [DURATION] [DURATION], [PHONE_NUMBER] [PHONE_NUMBER]."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,128.929,132.172,"How did you find us today, Ms. [PERSON_NAME]?"
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,132.572,135.165,Online.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,135.565,137.699,I was looking online.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,138.099,139.721,Appreciate that.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,140.121,147.033,"Last [OCCUPATION] been around since [DATE_INTERVAL] and all the [OCCUPATION] who are trained, license and certified."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,147.433,149.653,"What is your zip code, please?"
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,150.053,155.152,[LOCATION] [LOCATION] [LOCATION].
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,155.552,159.35,Thank you.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,159.75,163.505,"Okay, so you have a trailer and you need some film for the glass?"
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,163.905,168.407,"Yeah, the film for my windows, like 10, not Tenint."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,168.807,172.52,"Well, I guess, but it's supposed to be the kind of."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,172.92,175.513,It's decorative and you can'see.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,175.913,177.673,One way through it.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,178.073,180.346,Okay.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,180.746,183.669,"You can see out, but you can't see in."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,184.069,186.993,Okay.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,187.393,189.751,So it's got the privacy tent to it.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,190.151,193.255,Yeah.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,193.655,197.784,"Okay, well, let me have somebody give you a call soon as'able, ma'am."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,198.184,205.513,"We are generally Monday through Friday, [TIME] to [TIME], so you probably won't hear from somebody till Monday."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,205.913,207.62,Okay.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,208.02,211.733,Tell them if I don't answer the phone because.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,212.133,217.509,Which I don't answer the phone a lot because there's a lot of [OCCUPATION] to leave a message.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,217.909,220.043,"Oh, absolutely."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,220.443,222.481,Would you like us to text?
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,222.881,224.546,Would that be easier?
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,224.946,227.443,"Yep, they could do that too."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,227.843,234.009,"Okay, what is your address please, in [LOCATION] [LOCATION]?"
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,234.409,236.959,"Well, my address is."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,237.359,241.157,But this is not the property that I want the stuff.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,241.557,242.944,Okay.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,243.344,245.339,Because my.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,245.739,250.465,"My trailers in [LOCATION], [LOCATION]."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,250.865,254.802,"My trailer in [LOCATION], [LOCATION]."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,255.202,257.144,That's where it's going to be.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,257.544,261.203,"All right, ma'am, I'll have somed give you a call Monday."
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,261.603,264.153,We'get this all figured out for you.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,264.553,265.802,Okay?
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,266.202,267.451,Thank you.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,267.851,269.142,You're welcome.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,269.542,271.025,You have a good one.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,271.425,274.626,Keep us in mind for all your glass needs.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,275.026,278.131,Thanks for calling [OCCUPATION] [OCCUPATION].
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,278.531,279.779,Thank you.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,280.179,281.748,Bye bye.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,282.148,283.301,Thank you.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,283.701,285.504,Bye.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,285.904,287.43,Caller has hung up.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,287.83,290.796,Please enter your phone code.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,customer,291.196,292.957,Caller has hung up.
0a1329fe7bb145e3b2ad3cacf5213661_(1)_transcript_labeled.wav,agent,293.357,296.365,Please enter your phone code.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,0.0,7.094,Thank you for calling [ORGANIZATION] [ORGANIZATION] Or we fix your hanes to talk to a live customer.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,7.494,11.292,Represent.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,11.692,14.05,Thank you.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,14.45,20.296,[ORGANIZATION].
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,20.696,26.126,[ORGANIZATION].
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,26.526,28.425,We fixed your pains.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,28.825,30.394,How may I help you?
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,30.794,33.429,"Yeah, good morning."
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,33.829,39.718,I wanted to see about getting a new windshield for a 2014Jeep Wrangler.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,40.118,42.753,Okay.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,43.153,45.373,What county are you calling from?
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,45.773,52.269,[LOCATION].
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,52.669,55.774,"Okay, and what's the phone number, please?"
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,56.174,61.743,[PHONE_NUMBER].
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,62.143,67.893,And first name [PERSON_NAME].
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,68.293,72.795,And last name [PERSON_NAME].
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,73.195,86.283,"It's [PERSON_NAME], [PERSON_NAME], [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME]."
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,86.683,88.252,All right.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,88.652,91.287,A door or four door?
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,91.687,93.256,Two door.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,93.656,96.067,All right.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,96.467,100.084,Does it t have the [ORGANIZATION] grill in it?
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,100.484,103.119,It does not.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,103.519,111.04,And does have the blue shade in it or does not matter to you at the top?
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,111.44,115.803,Blue shadee like a blue stripop?
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,116.203,118.199,I don't believe so.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,118.599,121.799,I'm just checking the availability of that.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,122.199,129.069,"All right, that one shields, $[MONEY_AMOUNT] plus tax and that includes installation."
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,129.469,132.478,Okay.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,132.878,134.447,Do you want to set something up?
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,134.847,135.999,Yes.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,136.399,140.763,"Okay, and would that be at our shop in [LOCATION] [LOCATION]?"
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,141.163,148.545,I was going to see if you guys could come to my office here on [LOCATION] [LOCATION] in [LOCATION].
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,148.945,151.399,All right.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,151.799,155.97,"If we come to you, we would need a garage in case of rain."
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,156.37,160.36,If it is raining that [DURATION].
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,160.76,164.185,We would have to reschedule if you don't have a garage.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,164.585,167.412,Okay.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,167.812,171.429,"Okay, so let's start by getting your address first."
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,171.829,175.115,The address here is.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,175.515,177.595,What's.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,177.995,179.564,What is your address?
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,179.964,186.461,My like where I live is [LOCATION] [LOCATION] [LOCATION] [LOCATION].
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,186.861,190.104,I may pop up in your system.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,190.504,196.947,[LOCATION].
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,197.347,203.097,And is that in [LOCATION] or [LOCATION]?
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,203.497,206.741,Either one.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,207.141,210.245,Okay.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,210.645,215.051,All right.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,215.451,218.044,And what is the address we're coming to?
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,218.444,228.653,It would be [LOCATION] [LOCATION] [LOCATION].
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,229.053,235.496,And the zip codeanedalee 43701 yesanevillekay.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,235.896,238.958,And is that a business?
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,239.358,244.137,"Yeah, it's where the [ORGANIZATION] [ORGANIZATION] and child support is."
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,244.537,252.143,Okay.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,252.543,256.117,"Okay, now let's see the [DURATION] we can do that."
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,256.517,263.526,We could do that on [DATE] [DATE] [DATE] in the afternoon.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,263.926,268.609,[DATE] [DATE] [DATE]?
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,269.009,271.794,Yeah.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,272.194,273.816,Be next Tuesday.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,274.216,277.001,Okay.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,277.401,278.969,Would that work for you?
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,279.369,281.546,"Yeah, that works."
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,281.946,284.677,"All right, we will put that down for you."
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,285.077,288.737,Okay.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,289.137,304.593,"And can you put a note in there that they'll have to like drive all the way around to the backside or the backside of the parking lot, like through where it employee only."
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,304.993,307.213,"Okay, I put that."
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,307.613,309.747,Okay.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,310.147,313.763,"All right, very good."
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,314.163,317.364,And they'll call you that [DURATION] also.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,317.764,320.965,Okay.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,321.365,323.307,Okay.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,323.707,325.745,When they're on their way.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,326.145,327.532,"All right, great."
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,customer,327.932,332.103,Thank you all.
0a48381bb5be4a0eb95684680aef412f_transcript_labeled.wav,agent,332.503,334.776,"All right, bye."
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,0.0,6.913,Thank you for calling [ORGANIZATION] [ORGANIZATION] community of [OCCUPATION] [OCCUPATION].
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,customer,7.313,11.249,We make finding trusted [OCCUPATION] [OCCUPATION].
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,11.649,22.327,Thank you for calling [ORGANIZATION] [ORGANIZATION] [ORGANIZATION] [ORGANIZATION] [ORGANIZATION] [ORGANIZATION] [ORGANIZATION].
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,22.727,25.789,This is [PERSON_NAME].
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,26.189,28.366,How can I help you today?
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,customer,28.766,30.473,"Yes, I'm sorry."
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,30.873,32.026,Hello?
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,customer,32.426,34.645,I need to have a trauma come out.
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,35.045,36.337,"Are you there, sir?"
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,customer,36.737,39.191,"Yes, can you hear me?"
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,39.591,41.81,"Yes, I can hear you now."
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,customer,42.21,43.32,Hello?
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,43.72,45.854,Hello?
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,customer,46.254,48.527,"Yes, sir, I can hear you now."
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,48.927,50.037,Okay.
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,customer,50.437,53.915,I need a [OCCUPATION] to repair two leaky toilets.
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,54.315,57.889,But I'm also curious as to do you provide estimates.
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,customer,58.289,60.465,I don't want to have them do the work.
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,60.865,66.061,And it's a [MONEY_AMOUNT] [MONEY_AMOUNT].
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,customer,66.461,70.963,So it's a leaky toilet that you want to get fixed and you want to know the estimate.
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,71.363,73.262,Okay.
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,customer,73.662,75.935,Correct.
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,76.335,82.831,"Unfortunately, we're not able to discuss prices over the phone or give pricees over the phone."
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,customer,83.231,89.216,What I can go ahead and do for you today is I can go ahead and book an appointipment for you.
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,89.616,96.155,Have one of the professionals call you before they arrive to your house so you can discuss any type of prices with them.
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,customer,96.555,100.727,"And in case you don't want anything, you can go ahead and cancel right away."
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,101.127,102.973,Is that okay?
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,customer,103.373,104.483,Sure.
0a9fb8a8f466432aa5a47334190f41ea_(4)_transcript_labeled.wav,agent,104.883,108.222,"May I please have your first and last name, sir?"
